show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s200001,Movie,The Hidden Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2022-06-15,2022,PG-13,128 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200002,TV Show,A Lost City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2021-03-22,2020,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200003,Movie,Golden Journey,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2020-11-05,2019,PG,110 min,"Adventure, Family","An action-packed adventure across the world."
s200004,Movie,Dark Code,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2023-01-10,2023,R,142 min,"Crime, Thriller","A thrilling story of survival and courage."
s200005,TV Show,Silent World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2019-08-17,2018,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200006,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2024-05-21,2024,PG,135 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200007,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2018-09-09,2017,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200008,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-02-14,2019,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200009,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-12-01,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200010,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-07-19,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200011,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-03-12,2020,PG,118 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200012,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-04-02,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200013,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-01-08,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200014,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-10-11,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200015,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-06-23,2020,R,139 min,"Thriller, Crime","A thrilling story of survival and courage."
s200016,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-05-15,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200017,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-09-28,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200018,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-10-07,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200019,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-01-19,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200020,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-03-30,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200021,Movie,Golden Code,Steven Spielberg,"Emma Stone, Tom Hanks, Chris Evans",United States,2020-01-12,2018,PG-13,113 min,"Adventure, Drama","An action-packed adventure across the world."
s200022,TV Show,Silent Secret,Bong Joon-ho,"Song Kang-ho, Park Seo-joon, Lee Byung-hun",South Korea,2021-04-09,2021,TV-MA,2 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200023,Movie,Red World,James Cameron,"Scarlett Johansson, Chris Evans, Tom Hanks",Canada,2019-07-25,2019,PG-13,146 min,"Sci-Fi, Adventure","An action-packed adventure across the world."
s200024,Movie,Lost City,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt",India,2022-02-20,2022,TV-14,134 min,"Drama, Romance","A heartwarming tale of friendship and love."
s200025,TV Show,Dark Night,David Fincher,"Leonardo DiCaprio, Emma Stone, Tom Hanks",United Kingdom,2023-06-13,2023,TV-MA,4 Seasons,"Thriller, Crime","A thrilling story of survival and courage."
s200026,Movie,Hidden Journey,Greta Gerwig,"Emma Stone, Ryan Gosling, Robert Downey Jr.",France,2020-12-30,2020,PG,119 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200027,Movie,Bright World,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2018-05-06,2018,PG,138 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200028,TV Show,Golden Night,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2024-03-15,2024,TV-MA,3 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200029,Movie,Silent Dream,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Spain,2019-09-21,2019,R,140 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200030,TV Show,Red Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2022-11-02,2022,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200031,Movie,The Lost Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2021-01-18,2021,PG-13,126 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200032,TV Show,A Hidden City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2019-06-27,2019,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200033,Movie,Golden Secret,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2022-10-03,2020,PG,112 min,"Adventure, Family","An action-packed adventure across the world."
s200034,Movie,Dark World,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2020-03-19,2018,R,144 min,"Crime, Thriller","A thrilling story of survival and courage."
s200035,TV Show,Silent Journey,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-08-11,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200036,Movie,Red Night,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-02-04,2017,PG,132 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200037,Movie,Last Code,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-12-09,2023,R,154 min,"Drama, Crime","A thrilling story of survival and courage."
s200038,TV Show,Bright Secret,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2021-07-15,2021,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200039,Movie,Hidden World,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2019-11-22,2019,PG-13,122 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200040,TV Show,Silent Dream,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2020-09-30,2020,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200041,Movie,Lost Journey,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2022-04-14,2022,PG,120 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200042,Movie,Golden City,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2024-02-08,2024,PG-13,130 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200043,TV Show,Dark Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2018-06-19,2018,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200044,Movie,Bright Dream,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2021-11-01,2021,PG,143 min,"Action, Adventure","An action-packed adventure across the world."
s200045,Movie,Silent World,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2023-05-17,2023,R,141 min,"Thriller, Crime","A thrilling story of survival and courage."
s200046,TV Show,Hidden Code,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2020-01-26,2019,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200047,Movie,Last Journey,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2019-04-07,2019,PG-13,123 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200048,TV Show,Red Dream,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2022-07-28,2022,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200049,Movie,Dark City,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2021-03-05,2021,R,150 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200050,TV Show,Hidden Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-09-12,2024,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200051,Movie,Golden Dream,Steven Spielberg,"Emma Stone, Tom Hanks, Chris Evans",United States,2018-10-23,2018,PG-13,114 min,"Adventure, Drama","An action-packed adventure across the world."
s200052,TV Show,Silent City,Bong Joon-ho,"Song Kang-ho, Park Seo-joon, Lee Byung-hun",South Korea,2021-12-06,2021,TV-MA,2 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200053,Movie,Red Journey,James Cameron,"Scarlett Johansson, Chris Evans, Tom Hanks",Canada,2020-05-30,2020,PG-13,147 min,"Sci-Fi, Adventure","An action-packed adventure across the world."
s200054,Movie,Lost World,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt",India,2023-02-18,2023,TV-14,133 min,"Drama, Romance","A heartwarming tale of friendship and love."
s200055,TV Show,Dark Dream,David Fincher,"Leonardo DiCaprio, Emma Stone, Tom Hanks",United Kingdom,2019-07-14,2019,TV-MA,4 Seasons,"Thriller, Crime","A thrilling story of survival and courage."
s200056,Movie,Hidden Night,Greta Gerwig,"Emma Stone, Ryan Gosling, Robert Downey Jr.",France,2024-04-09,2024,PG,117 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200057,Movie,Bright City,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2022-08-22,2022,PG,139 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200058,TV Show,Golden Journey,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-11-10,2020,TV-MA,3 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200059,Movie,Silent Secret,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Spain,2018-01-11,2017,R,138 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200060,TV Show,Red World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2021-02-25,2021,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200061,Movie,The Dark Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2024-06-01,2024,PG-13,129 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200062,TV Show,A Bright City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2022-12-21,2022,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200063,Movie,Golden World,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2019-03-06,2018,PG,111 min,"Adventure, Family","An action-packed adventure across the world."
s200064,Movie,Dark Code,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2021-10-29,2021,R,143 min,"Crime, Thriller","A thrilling story of survival and courage."
s200065,TV Show,Silent World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2020-05-18,2020,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200066,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-09-08,2018,PG,136 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200067,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-11-20,2023,R,155 min,"Drama, Crime","A thrilling story of survival and courage."
s200068,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2019-02-02,2019,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200069,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2022-01-16,2022,PG-13,125 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200070,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2021-08-27,2021,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200071,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2020-10-12,2020,PG,119 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200072,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-09-14,2016,PG-13,131 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200073,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-02-19,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200074,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-11-23,2019,PG,144 min,"Action, Adventure","An action-packed adventure across the world."
s200075,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-07-02,2020,R,140 min,"Thriller, Crime","A thrilling story of survival and courage."
s200076,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-06-08,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200077,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-10-06,2022,PG-13,122 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200078,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-10-19,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200079,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-02-03,2017,R,152 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200080,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-04-10,2019,TV-MA,128 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200081,Movie,The Golden Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2020-08-16,2020,PG-13,127 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200082,TV Show,A Dark City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2023-04-07,2023,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200083,Movie,Hidden Journey,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2021-12-05,2021,PG,109 min,"Adventure, Family","An action-packed adventure across the world."
s200084,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2019-09-21,2019,R,145 min,"Crime, Thriller","A thrilling story of survival and courage."
s200085,TV Show,Red World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-05-13,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200086,Movie,Last Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-03-18,2018,PG,134 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200087,Movie,Bright Secret,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2022-02-10,2022,R,157 min,"Drama, Crime","A thrilling story of survival and courage."
s200088,TV Show,Hidden Night,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-10-02,2020,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200089,Movie,Dark Journey,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-06-27,2021,PG-13,123 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200090,TV Show,Golden Dream,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2019-01-19,2019,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200091,Movie,Silent World,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2024-09-30,2024,PG,121 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200092,Movie,Red City,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2020-04-12,2020,PG-13,133 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200093,TV Show,Dark Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2018-07-03,2018,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200094,Movie,Hidden Dream,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2022-06-01,2022,PG,146 min,"Action, Adventure","An action-packed adventure across the world."
s200095,Movie,Golden World,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2021-05-23,2021,R,141 min,"Thriller, Crime","A thrilling story of survival and courage."
s200096,TV Show,Silent City,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2020-02-11,2020,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200097,Movie,Bright Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2019-05-15,2019,PG-13,122 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200098,TV Show,Hidden Code,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-11-08,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200099,Movie,Dark City,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-03-14,2017,R,153 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
