show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s200100,TV Show,Red Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2021-09-12,2021,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200101,Movie,The Silent Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2022-01-02,2022,PG-13,128 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200102,TV Show,A Golden City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2020-06-19,2020,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200103,Movie,Hidden Secret,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2019-12-20,2019,PG,113 min,"Adventure, Family","An action-packed adventure across the world."
s200104,Movie,Dark World,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2023-02-25,2023,R,144 min,"Crime, Thriller","A thrilling story of survival and courage."
s200105,TV Show,Silent Journey,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-06-29,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200106,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-04-26,2018,PG,135 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200107,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-08-17,2023,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200108,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-01-06,2020,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200109,Movie,Hidden World,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-11-10,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200110,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-05-09,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200111,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-06-12,2023,PG,118 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200112,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-06-24,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200113,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-04-08,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200114,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-09-17,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200115,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-08-26,2020,R,139 min,"Thriller, Crime","A thrilling story of survival and courage."
s200116,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-03-19,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200117,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-12-03,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200118,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-07-14,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200119,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-04-22,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200120,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-06-09,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200121,Movie,Golden Code,Steven Spielberg,"Emma Stone, Tom Hanks, Chris Evans",United States,2020-03-03,2018,PG-13,113 min,"Adventure, Drama","An action-packed adventure across the world."
s200122,TV Show,Silent Secret,Bong Joon-ho,"Song Kang-ho, Park Seo-joon, Lee Byung-hun",South Korea,2021-01-29,2021,TV-MA,2 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200123,Movie,Red World,James Cameron,"Scarlett Johansson, Chris Evans, Tom Hanks",Canada,2020-09-07,2020,PG-13,146 min,"Sci-Fi, Adventure","An action-packed adventure across the world."
s200124,Movie,Lost City,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt",India,2022-04-16,2022,TV-14,134 min,"Drama, Romance","A heartwarming tale of friendship and love."
s200125,TV Show,Dark Night,David Fincher,"Leonardo DiCaprio, Emma Stone, Tom Hanks",United Kingdom,2019-08-20,2019,TV-MA,4 Seasons,"Thriller, Crime","A thrilling story of survival and courage."
s200126,Movie,Hidden Journey,Greta Gerwig,"Emma Stone, Ryan Gosling, Robert Downey Jr.",France,2024-01-21,2024,PG,119 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200127,Movie,Bright World,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2018-12-12,2018,PG,138 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200128,TV Show,Golden Night,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2024-09-17,2024,TV-MA,3 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200129,Movie,Silent Dream,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Spain,2019-10-29,2019,R,140 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200130,TV Show,Red Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2022-12-24,2022,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200131,Movie,The Hidden Code,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2021-07-10,2021,PG-13,129 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200132,TV Show,A Silent City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2020-02-28,2020,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200133,Movie,Golden Journey,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2022-09-14,2022,PG,115 min,"Adventure, Family","An action-packed adventure across the world."
s200134,Movie,Dark Night,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2019-04-23,2019,R,143 min,"Crime, Thriller","A thrilling story of survival and courage."
s200135,TV Show,Hidden World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-07-22,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200136,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-05-31,2018,PG,136 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200137,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-03-15,2023,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200138,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-06-05,2020,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200139,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-12-17,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200140,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-01-24,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200141,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-09-08,2023,PG,120 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200142,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-12-11,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200143,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-05-01,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200144,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-02-18,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200145,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-09-29,2020,R,140 min,"Thriller, Crime","A thrilling story of survival and courage."
s200146,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-03-04,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200147,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-11-13,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200148,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-06-20,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200149,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-05-19,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200150,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-07-28,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200151,Movie,Golden Code,Steven Spielberg,"Emma Stone, Tom Hanks, Chris Evans",United States,2020-04-14,2018,PG-13,113 min,"Adventure, Drama","An action-packed adventure across the world."
s200152,TV Show,Silent Secret,Bong Joon-ho,"Song Kang-ho, Park Seo-joon, Lee Byung-hun",South Korea,2021-02-12,2021,TV-MA,2 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200153,Movie,Red World,James Cameron,"Scarlett Johansson, Chris Evans, Tom Hanks",Canada,2020-10-30,2020,PG-13,146 min,"Sci-Fi, Adventure","An action-packed adventure across the world."
s200154,Movie,Lost City,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Alia Bhatt",India,2022-05-06,2022,TV-14,134 min,"Drama, Romance","A heartwarming tale of friendship and love."
s200155,TV Show,Dark Night,David Fincher,"Leonardo DiCaprio, Emma Stone, Tom Hanks",United Kingdom,2019-09-02,2019,TV-MA,4 Seasons,"Thriller, Crime","A thrilling story of survival and courage."
s200156,Movie,Hidden Journey,Greta Gerwig,"Emma Stone, Ryan Gosling, Robert Downey Jr.",France,2024-02-03,2024,PG,119 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200157,Movie,Bright World,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2018-11-27,2018,PG,138 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200158,TV Show,Golden Night,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2024-08-04,2024,TV-MA,3 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200159,Movie,Silent Dream,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Spain,2019-11-12,2019,R,140 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200160,TV Show,Red Secret,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2022-12-08,2022,TV-MA,1 Season,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200161,Movie,The Hidden Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2021-08-29,2021,PG-13,128 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200162,TV Show,A Lost City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2020-03-19,2020,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200163,Movie,Golden Journey,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2022-10-28,2022,PG,112 min,"Adventure, Family","An action-packed adventure across the world."
s200164,Movie,Dark Code,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2019-05-31,2019,R,142 min,"Crime, Thriller","A thrilling story of survival and courage."
s200165,TV Show,Silent World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-06-10,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200166,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-06-14,2018,PG,135 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200167,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-04-27,2023,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200168,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-07-21,2020,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200169,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-11-03,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200170,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-02-06,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200171,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-10-11,2023,PG,118 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200172,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-11-04,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200173,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-03-22,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200174,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-03-09,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200175,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-10-14,2020,R,140 min,"Thriller, Crime","A thrilling story of survival and courage."
s200176,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-04-02,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200177,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-09-25,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200178,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-05-08,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200179,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-06-07,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200180,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-08-16,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200181,Movie,The Silent Code,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2020-11-19,2020,PG-13,128 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200182,TV Show,A Hidden World,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2021-01-07,2021,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200183,Movie,Golden Secret,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2019-06-26,2019,PG,111 min,"Adventure, Family","An action-packed adventure across the world."
s200184,Movie,Dark City,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2023-08-30,2023,R,145 min,"Crime, Thriller","A thrilling story of survival and courage."
s200185,TV Show,Silent Journey,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-10-09,2024,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200186,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2018-07-20,2018,PG,136 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200187,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2023-06-03,2023,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200188,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-09-13,2020,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200189,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-09-28,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200190,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-03-11,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200191,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-11-22,2023,PG,118 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200192,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-05-08,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200193,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-01-29,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200194,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-12-06,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200195,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-12-21,2020,R,140 min,"Thriller, Crime","A thrilling story of survival and courage."
s200196,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-06-16,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200197,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-07-09,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200198,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-04-02,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200199,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-08-14,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200200,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-10-04,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."